Card,Set,Mana Cost,Card Type,Color,Rarity,imageUrl,lowScore,highScore,review,color,set,power,toughness,text
Hijack,Ixalan,1RR,Sorcery,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379459/large/145792_200w.jpg?1505504694,0.5,,"Outside of formats with a dedicated sacrifice theme, Threaten effects tend to be pretty bad. Hijack isn't a card I expect to play, though I can see siding it in against big Dinosaurs every now and then.",red,xln,,,Gain control of target artifact or creature until end of turn. Untap it. It gains haste until end of turn.
Hornswoggle,Rivals of Ixalan,2U,Instant,Blue,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422027/large/155798_200w.jpg?1515181152,2,,"The best part about this card is the name, by far. As for the effect, I'm still not that thrilled about paying 3 mana to counter a spell, and this is even restricted to creatures only. At least you do get a Treasure out of the deal, making this a pseudo-ramp card, and playable in decks that don't have the best curve.",blue,rix,,,"Counter target creature spell. You create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Hostage Taker,Ixalan,2UB,Creature  - Human Pirate,Gold,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375451/large/142031_200w.jpg?1503948939,4.5,,"If all this did was exile the target, Hostage Taker would be a prized early pick. Given that she lets you cast it and keep it forever, she's on the short list of best cards in the set. The opponent has maybe one turn to kill her and prevent the blowout, after which you end up insanely far ahead. I would also prioritize ways to get her back from the graveyard, or cards like Siren's Ruse, since the only thing better than taking one hostage is taking two.",gold,xln,2,3,"When Hostage Taker enters the battlefield, exile another target creature or artifact until Hostage Taker leaves the battlefield. You may cast that card for as long as it remains exiled, and you may spend mana as though it were mana of any type to cast that spell."
"Huatli, Dinosaur Knight",Ixalan,4RW,Legendary Planeswalker  - Huatli,Gold,Mythic Rare,,,,,,,,,+2: Put two +1/+1 counters on up to one target Dinosaur you control. −3: Target Dinosaur you control deals damage equal to its power to target creature you don't control. −7: Dinosaurs you control get +4/+4 until end of turn.
"Huatli, Radiant Champion",Rivals of Ixalan,2GW,Legendary Planeswalker  - Huatli,Gold,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421796/large/155598_200w.jpg?1514937662,3,,"If you're playing G/W, there's no way you're cutting Huatli, but she isn't at the level of most planeswalkers. I wouldn't splash for her, and slower decks don't get a huge edge. She helps a lot when you've got a good board presence, but she doesn't protect herself or have an ability that nets you cards or board position (except the ultimate, which can pop surprisingly fast). On the plus (loyalty) side, she's very hard to kill if you do have a lot of creatures, as her +1 can skyrocket her loyalty.",gold,rix,,,"+1: Put a loyalty counter on Huatli, Radiant Champion for each creature you control. −1: Target creature gets +X/+X until end of turn, where X is the number of creatures you control. −8: You get an emblem with ""Whenever a creature enters the battlefield under your control, you may draw a card."""
"Huatli, Warrior Poet",Ixalan,3RW,Legendary Planeswalker  - Huatli,Gold,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377536/large/144814_200w.jpg?1504650143,4,,"Huatli fits the traditional planeswalker mold as she adds to the board each turn, can defend herself, and has a minor plus ability to tie it all together. You'll be making Dinosaurs most of the time, but sometimes you might +2 into a nice -4 or -5 to finish the game. Either way, she's a powerful 5-drop and a card worth splashing.",gold,xln,,,"+2: You gain life equal to the greatest power among creatures you control. 0: Create a 3/3 green Dinosaur creature token with trample. −X: Huatli, Warrior Poet deals X damage divided as you choose among any number of target creatures. Creatures dealt damage this way can't block this turn."
Huatli's Snubhorn,Ixalan,1W,Creature  - Dinosaur,White,Common,,,,,,,2,2,Vigilance (Attacking doesn't cause this creature to tap.)
Huatli's Spurring,Ixalan,R,Instant,Red,Uncommon,,,,,,,,,"Target creature gets +2/+0 until end of turn. If you control a Huatli planeswalker, that creature gets +4/+0 until end of turn instead."
Hunt the Weak,Rivals of Ixalan,3G,Sorcery,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422028/large/155774_200w.jpg?1515181155,3.5,,"Normally this rates a 2.5 or 3.0, depending on what else is going on the set. I like it a lot more here for a few reasons:",green,rix,,,Put a +1/+1 counter on target creature you control. Then that creature fights target creature you don't control. (Each deals damage equal to its power to the other.)
Impale,Rivals of Ixalan,2BB,Sorcery,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422029/large/155744_200w.jpg?1515181158,3.5,,"Efficient and unconditional removal is always good in my book, and this easily wins the race for best black common (even though I don't have a stake in the outcome).",black,rix,,,Destroy target creature.
Imperial Aerosaur,Ixalan,3W,Creature  - Dinosaur,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379460/large/145703_200w.jpg?1505504696,3.5,,"Not only does this give you a 3/3 flyer for 4, which is a gift fit for a king, it also forces through a good chunk of damage. This is a great deal for any deck, and not one I'm leaving by the wayside.",white,xln,3,3,"Flying. When Imperial Aerosaur enters the battlefield, another target creature you control gets +1/+1 and gains flying until end of turn."
Imperial Ceratops,Rivals of Ixalan,4W,Creature  - Dinosaur,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421940/large/155721_200w.jpg?1515173806,3,,"Imperial Ceratops is a brick house, and will do a mighty job of keeping you alive. It is a little less exciting in purely aggressive decks, but Dino ramp decks will love this beast. It blocks well, has a very nice enrage bonus, and can even attack when needed.",white,rix,3,5,"Enrage — Whenever Imperial Ceratops is dealt damage, you gain 2 life."
Imperial Lancer,Ixalan,W,Creature  - Human Knight,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378919/large/imperial-lancer-61969-medium.jpg?1505510327,1.5,,"A 2/1 for 1 isn't as good as it looks in Limited, and this only becomes that later in the game, at which point it might just get blanked. Even in a Dinosaur-heavy deck, I'm not excited about this.",white,xln,1,1,Imperial Lancer has double strike as long as you control a Dinosaur.
Induced Amnesia,Rivals of Ixalan,2U,Enchantment,Blue,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421821/large/155637_200w.jpg?1515010950,0,,"Paying 3 mana and a card to get to loot away the rest of your hand is an ability I'd rather forget. This just isn't worth it in Limited, even if the dream is to use enchantment removal to kill it later.",blue,rix,,,"When Induced Amnesia enters the battlefield, target player exiles all cards from his or her hand face down, then draws that many cards. When Induced Amnesia is put into a graveyard from the battlefield, return the exiled cards to their owner's hand."
Inspiring Cleric,Ixalan,2W,Creature  - Vampire Cleric,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379461/large/145706_200w.jpg?1505504697,2.5,,"I wouldn't exactly call this inspiring, but it is a solid body that fills out your curve and keeps you alive. You could do a lot worse for 3 mana, though don't be afraid to side it out against control decks or when a 3/2 lines up poorly against opposing 2-drops.",white,xln,3,2,"When Inspiring Cleric enters the battlefield, you gain 4 life."
Ixalan's Binding,Ixalan,3W,Enchantment,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377537/large/144817_200w.jpg?1504650145,3.5,,"This is a 4-mana Oblivion Ring with trinket text, and you know what? You'll play it, and you'll like it. Especially given how good some of the expensive Dinos seem to be, this has to be nothing less than solid (unless this format is somehow as fast as Amonkhet).",white,xln,,,"When Ixalan's Binding enters the battlefield, exile target nonland permanent an opponent controls until Ixalan's Binding leaves the battlefield. Your opponents can't cast spells with the same name as the exiled card."
Ixalli's Diviner,Ixalan,1G,Creature  - Human Druid,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379466/large/145745_200w.jpg?1505504706,2.5,,"I'm reasonably happy with this no matter what the outcome is. Explore is a powerful mechanic, and an 0/3 that draws a card or a 1/4 with ""scry"" is certainly worth 2 mana (though I wouldn't run this in aggressive decks).",green,xln,0,3,"When Ixalli's Diviner enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Ixalli's Keeper,Ixalan,1G,Creature  - Human Shaman,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379467/large/145747_200w.jpg?1505504708,1.5,,"Alongside other 2/2s for 2, this is fine if that's what you're in the market for. The ability costs a ton, so you really are just playing this because you are keeping your curve in mind.",green,xln,2,2,"{7}{G}, {T}, Sacrifice Ixalli's Keeper: Target creature gets +5/+5 and gains trample until end of turn."
"Jace, Cunning Castaway",Ixalan,1UU,Legendary Planeswalker  - Jace,Blue,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375528/large/Jace-Cunning-Castaway-Ixalan-Spoiler.png?1504043213,3.5,,"The bulk of Jace's power is in the -2 (and certainly not his arms-I'm gonna say that Jace does not lift). Making a 2/2 and sticking around to provide value isn't bad, and if you can protect Jace and get to 5, you get multiple tokens and a lot of card flow. If you are ahead, Jace is very good. If you are at parity, he pressures the opponent, and unless you are too far behind, he's still worth the low investment of 3 mana. Jace may not be a windmill slam like some other planeswalkers, but the combination of affecting the board and getting to an ultimate quickly does make him a good early pick.",blue,xln,,,"+1: Whenever one or more creatures you control deal combat damage to a player this turn, draw a card, then discard a card. −2: Create a 2/2 blue Illusion creature token with ""When this creature becomes the target of a spell, sacrifice it."". −5: Create two tokens that are copies of Jace, Cunning Castaway, except they're not legendary."
"Jace, Ingenious Mind-Mage",Ixalan,4UU,Legendary Planeswalker  - Jace,Blue,Mythic Rare,,,,,,,,,+1: Draw a card. +1: Untap all creatures you control. −9: Gain control of up to three target creatures.
